txid,ordertxid,pair,aclass,time,type,ordertype,price,cost,fee,vol,margin,misc,ledgers,posttxid,costusd,strategy,note
T2XFAQ-KI3XN-K2VP2X,OIAJ7B-7LNT7-QN7O6F,BCH/USD,forex,47:26.0,sell,market,547.14,53.380002,0.18683,0.09756187,0,initiated,"LLVTS3-ITFNM-K7R34X,LKC4S7-N2QH6-HZVV3Q",TKH2SE-M7IF5-CFI7LT,53.380002,,
TTUU2O-OAUNO-V3VAXT,OY3IAA-ECJJD-2RLEWD,BTC/USD,forex,47:30.9,buy,market,115633.1,53.37971,0.18683,0.00046163,0,initiated,"LX46NR-Q6RVP-PKP3UL,LLFJM7-U5HDY-UOEZ73",TKH2SE-M7IF5-CFI7LT,53.37971,,
TLBDQ5-5ORIV-S32ECS,OG2Z63-VPUMJ-64W2BS,ETH/USD,forex,47:31.6,buy,market,4267.63,53.38011,0.18683,0.01250814,0,initiated,"LPZP2X-XF7VK-3TYSHK,LWBY5N-6J3BN-PLQUTM",TKH2SE-M7IF5-CFI7LT,53.38011,,
TONK6B-DDJJE-RNNRSN,OH6HIB-ELF3X-2MXSO3,SOL/USD,forex,47:32.3,buy,market,208.36,53.36719,0.18679,0.25612974,0,initiated,"LRVMH6-TBGDI-6N2FSL,LIRRYM-T4CC5-ZOOFKS",TKH2SE-M7IF5-CFI7LT,53.36719,,
TUHWXT-KD2ZN-6JG36A,OLWKX7-FS7KQ-HXB7DA,BTC/USD,forex,47:44.3,sell,market,115633,53.37966,0.18683,0.00046163,0,initiated,"LCD66W-T7H6R-TIWP7D,L4JZOK-YA5IG-DO4M37",TKH2SE-M7IF5-CFI7LT,53.37966,,
TIQBAF-XIHFT-UNK67U,OLNCAU-XW3CK-JNJ363,ETH/USD,forex,47:45.0,buy,market,4267.63,53.37999,0.18683,0.01250811,0,initiated,"LV3VDH-XCGOK-NFPLIZ,LOG63K-LVUVF-55Z7U6",TKH2SE-M7IF5-CFI7LT,53.37999,,
TS62HD-F5IXF-46337E,ORANUA-X52FC-M2XV2Y,BCH/USD,forex,47:49.6,sell,market,546.95,53.361465,0.186765,0.09756187,0,initiated,"L6CSVW-D2GJS-42P7MW,L67IGQ-ZVEYC-OPPTHM",TKH2SE-M7IF5-CFI7LT,53.361465,,
TIUUV6-HCWBZ-NOCD6I,OEARTL-N44HS-YUPEGQ,ETH/USD,forex,47:56.6,sell,market,4267.62,53.37986,0.18683,0.01250811,0,initiated,"LNKGAK-JTHYJ-M5EAPV,LAYY3E-TEWZC-PJSXSI",TKH2SE-M7IF5-CFI7LT,53.37986,,
TEDAIQ-2UOM6-BLGZVB,ODQBFA-SLZZ3-MVK7A2,SOL/USD,forex,47:57.2,sell,market,208.32,53.37488,0.18681,0.2562158,0,initiated,"LWS62D-M32BL-3LQ5TD,LGOIF7-SDR2Q-IKFJBJ",TKH2SE-M7IF5-CFI7LT,53.37488,,
T75BTX-G5GF6-O2LREE,ONRRNI-BQW3W-B5762I,BCH/USD,forex,48:01.1,sell,market,546.8,53.365362,0.186779,0.09759576,0,initiated,"LBCITB-B2UU4-Z7H244,L2HM2K-4XY2I-P5RPUQ",TKH2SE-M7IF5-CFI7LT,53.365362,,
